questionable,freq,unimodal,perceptual,SoundVerbAvg,SoundVerbLC,SoundVerbStrik,SoundVerbSens,TouchVerbAvg,TouchVerbLC,TouchVerbStrik,TouchVerbSens,LC_N,Strik_N,Sens_N,LC_Excluded,Strik_Excluded,Sens_Excluded,FolderName
TRUE,TRUE,TRUE,TRUE,2.38,3.52,1.78,1.85,1.41,0.26,-1.68,5.64,39,202,1064,0.9544924154025671,0.20472440944881887,0.9218795888399413,questionable_TRUE:freq_TRUE:unimodal_TRUE:perceptual_TRUE
TRUE,TRUE,TRUE,FALSE,3.03,3.96,1.78,3.34,1.65,1.89,-1.68,4.75,131,202,3545,0.8471411901983664,0.20472440944881887,0.7397209985315711,questionable_TRUE:freq_TRUE:unimodal_TRUE:perceptual_FALSE
TRUE,TRUE,FALSE,TRUE,1.77,2.64,1.78,0.88,-0.38,-2.01,-1.68,2.55,131,202,3545,0.8471411901983664,0.20472440944881887,0.7397209985315711,questionable_TRUE:freq_TRUE:unimodal_FALSE:perceptual_TRUE
TRUE,TRUE,FALSE,FALSE,3.93,7.29,1.78,2.71,-0.51,-0.17,-1.68,0.33,436,202,11817,0.49124854142357055,0.20472440944881887,0.13237885462555066,questionable_TRUE:freq_TRUE:unimodal_FALSE:perceptual_FALSE
TRUE,FALSE,TRUE,TRUE,3.51,4.06,2.91,3.56,1.25,0.36,-2.08,5.47,42,254,1226,0.9509918319719953,0,0.909985315712188,questionable_TRUE:freq_FALSE:unimodal_TRUE:perceptual_TRUE
TRUE,FALSE,TRUE,FALSE,3.63,4.38,2.91,3.61,1.62,2.15,-2.08,4.8,144,254,4086,0.8319719953325554,0,0.7,questionable_TRUE:freq_FALSE:unimodal_TRUE:perceptual_FALSE
TRUE,FALSE,FALSE,TRUE,2.27,2.63,2.91,1.27,-0.25,-2.15,-2.08,3.48,145,254,4086,0.8308051341890315,0,0.7,questionable_TRUE:freq_FALSE:unimodal_FALSE:perceptual_TRUE
TRUE,FALSE,FALSE,FALSE,4.16,7.38,2.91,2.19,-0.25,0.26,-2.08,1.06,483,254,13620,0.4364060676779463,0,0,questionable_TRUE:freq_FALSE:unimodal_FALSE:perceptual_FALSE
FALSE,TRUE,TRUE,TRUE,2.63,4.24,1.78,1.85,2.07,2.25,-1.68,5.64,72,202,1064,0.9159859976662778,0.20472440944881887,0.9218795888399413,questionable_FALSE:freq_TRUE:unimodal_TRUE:perceptual_TRUE
FALSE,TRUE,TRUE,FALSE,3.01,3.91,1.78,3.34,2.68,4.98,-1.68,4.75,242,202,3545,0.7176196032672112,0.20472440944881887,0.7397209985315711,questionable_FALSE:freq_TRUE:unimodal_TRUE:perceptual_FALSE
FALSE,TRUE,FALSE,TRUE,1.82,2.8,1.78,0.88,-0.35,-1.92,-1.68,2.55,240,202,3545,0.7199533255542591,0.20472440944881887,0.7397209985315711,questionable_FALSE:freq_TRUE:unimodal_FALSE:perceptual_TRUE
FALSE,TRUE,FALSE,FALSE,3.96,7.37,1.78,2.71,0.79,3.71,-1.68,0.33,805,202,11817,0.0606767794632439,0.20472440944881887,0.13237885462555066,questionable_FALSE:freq_TRUE:unimodal_FALSE:perceptual_FALSE
FALSE,FALSE,TRUE,TRUE,3.68,4.56,2.91,3.56,1.89,2.28,-2.08,5.47,76,254,1226,0.911318553092182,0,0.909985315712188,questionable_FALSE:freq_FALSE:unimodal_TRUE:perceptual_TRUE
FALSE,FALSE,TRUE,FALSE,3.59,4.24,2.91,3.61,2.66,5.27,-2.08,4.8,257,254,4086,0.7001166861143524,0,0.7,questionable_FALSE:freq_FALSE:unimodal_TRUE:perceptual_FALSE
FALSE,FALSE,FALSE,TRUE,2.34,2.83,2.91,1.27,-0.21,-2.04,-2.08,3.48,257,254,4086,0.7001166861143524,0,0.7,questionable_FALSE:freq_FALSE:unimodal_FALSE:perceptual_TRUE
FALSE,FALSE,FALSE,FALSE,4.22,7.57,2.91,2.19,1.01,4.06,-2.08,1.06,857,254,13620,0,0,0,questionable_FALSE:freq_FALSE:unimodal_FALSE:perceptual_FALSE
